Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
528673,Hon.,Paul,V,Watson,M,paul.watson@hotmail.com,Carl Watson,Anna Watson,Bennett,3/9/1959,05:19:17 AM,58.43,60,6/26/1995,Q2,H1,1995,6,June,Jun,26,Monday,Mon,22.1,145235,15%,286-15-9671,270-556-7711,Blue River,Floyd,Blue River,KY,41607,South,pvwatson,7q{iHhbgWZ7%
765850,Mrs.,Linda,R,Moore,F,linda.moore@gmail.com,Howard Moore,Diana Moore,Smith,8/18/1991,08:22:55 AM,25.96,40,5/15/2017,Q2,H1,2017,5,May,May,15,Monday,Mon,0.2,113256,18%,286-15-5442,215-793-7095,Albion,Erie,Albion,PA,16401,Northeast,lrmoore,0jj}jl_r/VmJ;
262382,Ms.,Cheryl,O,Miller,F,cheryl.miller@ntlworld.com,Gerald Miller,Christine Miller,Mitchell,4/20/1985,05:42:38 PM,32.29,48,7/30/2007,Q3,H2,2007,7,July,Jul,30,Monday,Mon,10,64143,3%,287-15-4772,270-880-3858,Bays,Breathitt,Bays,KY,41310,South,comiller,Nr-t/.^cWBO
870820,Ms.,Martha,G,Washington,F,martha.washington@aol.com,Todd Washington,Carolyn Washington,Reed,3/28/1991,05:37:33 AM,26.35,54,3/3/2017,Q1,H1,2017,3,March,Mar,3,Friday,Fri,0.4,116629,25%,416-67-0297,405-945-0242,Nardin,Kay,Nardin,OK,74646,South,mgwashington,ju$7I]eH8{-
806955,Mr.,William,G,Hernandez,M,william.hernandez@rediffmail.com,Peter Hernandez,Deborah Hernandez,Jones,7/22/1967,08:22:32 AM,50.05,50,3/21/2000,Q1,H1,2000,3,March,Mar,21,Tuesday,Tue,17.36,73734,22%,629-31-9010,239-276-0532,Mary Esther,Okaloosa,Mary Esther,FL,32569,South,wghernandez,BRB3DFywgZZ4
325319,Hon.,Carolyn,F,Price,F,carolyn.price@yahoo.com,Kevin Price,Patricia Price,Williams,5/30/1976,01:24:46 AM,41.19,60,11/5/2014,Q4,H2,2014,11,November,Nov,5,Wednesday,Wed,2.73,48736,2%,512-33-3410,217-409-4338,Wheaton,DuPage,Wheaton,IL,60189,Midwest,cfprice,K*$u@MAoH
623253,Mrs.,Ruby,Q,Stewart,F,ruby.stewart@gmail.com,Paul Stewart,Paula Stewart,Jackson,10/23/1968,12:02:38 AM,48.79,48,7/2/2017,Q3,H2,2017,7,July,Jul,2,Sunday,Sun,0.07,174774,7%,007-11-1727,218-445-2369,Margie,Koochiching,Margie,MN,56658,Midwest,rqstewart,C\RjCUPJd[Ld]
225925,Mr.,Paul,D,Cooper,M,paul.cooper@gmail.com,Nicholas Cooper,Helen Cooper,Hill,8/12/1991,11:14:26 PM,25.98,68,9/8/2014,Q3,H2,2014,9,September,Sep,8,Monday,Mon,2.89,73526,27%,613-87-0084,210-984-4722,Glidden,Colorado,Glidden,TX,78943,South,pdcooper,hW%ZbJ\fZ-
761821,Mr.,Ernest,G,Washington,M,ernest.washington@msn.com,Johnny Washington,Shirley Washington,Harris,10/28/1984,11:37:48 AM,32.77,87,1/31/2015,Q1,H1,2015,1,January,Jan,31,Saturday,Sat,2.49,176675,15%,178-86-1878,212-596-1659,Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast,egwashington,B\Wb^6W-
400173,Ms.,Dorothy,K,Edwards,F,dorothy.edwards@hotmail.co.uk,Dennis Edwards,Betty Edwards,Howard,1/19/1984,01:51:05 AM,33.55,57,12/31/2013,Q4,H2,2013,12,December,Dec,31,Tuesday,Tue,3.58,179017,1%,543-81-2192,215-902-6888,Philadelphia,Philadelphia,Philadelphia,PA,19132,Northeast,dkedwards,VWEIm3YKm65|D
802554,Mr.,Ryan,V,Alexander,M,ryan.alexander@shell.com,William Alexander,Elizabeth Alexander,Gray,8/1/1993,06:26:20 PM,24.01,65,8/31/2014,Q3,H2,2014,8,August,Aug,31,Sunday,Sun,2.91,106628,24%,017-94-7572,225-395-3347,Jarreau,Pointe Coupee,Jarreau,LA,70749,South,rvalexander,3N3]VFZx?MaC{
476433,Ms.,Lillian,N,Mitchell,F,lillian.mitchell@shaw.ca,Harry Mitchell,Marie Mitchell,Murphy,10/23/1974,06:40:13 PM,42.79,55,12/7/1999,Q4,H2,1999,12,December,Dec,7,Tuesday,Tue,17.65,149878,3%,505-59-3960,316-876-1484,Wichita,Sedgwick,Wichita,KS,67214,Midwest,lnmitchell,Ty/b@+;f
533952,Ms.,Kelly,R,Adams,F,kelly.adams@bp.com,Eric Adams,Janice Adams,Brooks,5/23/1975,01:54:27 PM,42.21,53,7/4/2013,Q3,H2,2013,7,July,Jul,4,Thursday,Thu,4.07,51878,15%,474-55-8101,405-418-0037,Meno,Major,Meno,OK,73760,South,kradams,OfK?#J|7&W\1T
623929,Prof.,Jimmy,R,Howard,M,jimmy.howard@yahoo.com,Nicholas Howard,Patricia Howard,Hayes,11/27/1966,10:37:53 AM,50.7,87,12/12/2007,Q4,H2,2007,12,December,Dec,12,Wednesday,Wed,9.63,120631,13%,610-87-0251,212-855-9316,Oriskany,Oneida,Oriskany,NY,13424,Northeast,jrhoward,0v+|SfA0Xv+Pf%
111111,Ms.,Margaret,T,Allen,F,margaret.allen@gmail.com,Michael Allen,Karen Allen,Morris,9/8/1981,10:10:26 PM,35.91,43,5/17/2013,Q2,H1,2013,5,May,May,17,Friday,Fri,4.2,180107,22%,137-25-8468,216-697-6987,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest,mtallen,oC1OHlW%Sk@%6
222222,Ms.,Margeret,T,Alen,F,margaret.allen@gmail.com,Michael Allen,Karen Allen,Morris,9/8/1981,10:10:26 PM,35.91,43,5/17/2013,Q2,H1,2013,5,May,May,17,Friday,Fri,4.2,180107,22%,137-25-8468,216-697-6987,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest,mtallen,oC1OHlW%Sk@%6
333333,Ms.,Margaret,T,Allen,F,margaret.allen@gmail.com,Michael Allen,Karen Allen,Morris,9/8/1981,10:10:26 PM,35.91,43,5/17/2013,Q2,H1,2013,5,May,May,17,Friday,Fri,4.2,180107,22%,137-25-8468,415-697-6987,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest,mtallen,oC1OHlW%Sk@%6
